dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,0,     221.224163
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,1,     211.983111
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,2,     216.862011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,3,     217.500356
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,4,     221.072882
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,5,     218.612200
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,6,     216.667131
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,7,     220.149057
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,8,     215.079221
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,9,     214.991584
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,10,     216.617919
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,11,     218.584133
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,12,     217.609338
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,13,     214.704305
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,14,     216.584243
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,15,     215.361106
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,16,     217.483302
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,17,     218.835689
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,18,     216.564716
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,19,     215.903729
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,20,     218.684005
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,21,     214.751127
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,22,     217.970621
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,23,     217.283021
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,24,     218.281042
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,25,     218.557788
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,26,     219.374735
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,27,     218.438087
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,28,     221.106954
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,29,     221.289952
