dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,0,    3508.800399
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,1,    3500.664060
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,2,    3479.650837
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,3,    3488.689426
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,4,    3487.364564
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,5,    3484.415189
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,6,    3483.442795
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,7,    3484.079505
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,8,    3489.198051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,9,    3483.230106
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,10,    3481.411796
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,11,    3473.507139
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,12,    3489.480815
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,13,    3486.883156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,14,    3484.860411
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,15,    3479.535072
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,16,    3485.082387
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,17,    3482.838678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,18,    3496.312082
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,19,    3473.449943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,20,    3487.253535
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,21,    3483.066639
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,22,    3486.297666
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,23,    3498.269411
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,24,    3492.609001
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,25,    3486.855901
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,26,    3477.606578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,27,    3493.251630
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,28,    3485.330551
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,29,    3487.978019
