dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,0,     763.404529
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,1,     691.090088
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,2,     592.315840
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,3,     594.976308
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,4,     762.278121
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,5,     751.593964
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,6,     704.832244
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,7,     696.662290
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,8,     716.740887
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,9,     599.728115
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,10,     725.050013
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,11,     608.626990
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,12,     614.553119
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,13,     599.936802
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,14,     614.819612
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,15,     606.446788
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,16,     600.761139
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,17,     602.226405
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,18,     700.594497
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,19,     608.214758
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,20,     609.059157
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,21,     606.405612
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,22,     603.249450
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,23,     606.792654
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,24,     604.693251
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,25,     602.528822
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,26,     602.822113
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,27,     614.044063
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,28,     608.500779
3,double,uniform,PoisFFT,"P | P | P | P | D | N",64,369,29,     601.290998
