dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,0,      83.085563
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,1,      82.004864
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,2,      85.097414
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,3,      85.684668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,4,      84.172037
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,5,      82.958336
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,6,      81.997355
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,7,      82.454257
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,8,      81.965848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,9,      81.893891
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,10,      81.929247
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,11,      81.682951
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,12,      81.943249
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,13,      82.125490
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,14,      82.016166
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,15,      82.160618
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,16,      82.073347
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,17,      82.261045
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,18,      81.713226
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,19,      81.868425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,20,      81.776397
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,21,      82.187916
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,22,      81.709323
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,23,      81.764015
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,24,      81.806545
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,25,      82.609790
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,26,      84.776524
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,27,      83.294036
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,28,      84.185475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,29,      81.794374
