dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,0,      54.485038
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,1,      52.856084
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,2,      52.734301
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,3,      52.983238
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,4,      53.000363
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,5,      53.116742
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,6,      52.924930
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,7,      52.763321
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,8,      57.028392
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,9,      53.221967
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,10,      52.722938
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,11,      52.568516
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,12,      52.883100
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,13,      52.640641
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,14,      52.718457
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,15,      53.379278
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,16,      52.747993
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,17,      52.984141
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,18,      52.908649
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,19,      52.843701
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,20,      53.184507
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,21,      52.925282
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,22,      53.044524
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,23,      53.124293
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,24,      53.014410
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,25,      53.011023
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,26,      53.138894
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,27,      52.813158
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,28,      52.739365
3,float,uniform,PoisFFT,"D | D | D | D | D | D",8,161,29,      52.977213
