dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,0,    3907.028628
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,1,    3770.323969
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,2,    3735.759061
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,3,    3731.316686
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,4,    3752.077711
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,5,    3751.392310
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,6,    3731.512989
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,7,    3820.625992
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,8,    3718.501580
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,9,    3726.024936
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,10,    3713.663190
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,11,    3713.818196
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,12,    3715.931166
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,13,    3719.868894
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,14,    3715.556930
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,15,    3713.276805
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,16,    3718.728487
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,17,    3762.433060
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,18,    3708.624516
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,19,    3726.681126
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,20,    3807.095846
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,21,    3741.005337
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,22,    3709.744339
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,23,    3817.123136
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,24,    3723.950356
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,25,    3705.719361
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,26,    3772.184378
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,27,    3726.699464
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,28,    3716.583827
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,29,    3710.442144
