dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,0,    2490.379928
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,1,    2442.662964
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,2,    2443.059343
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,3,    2444.345405
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,4,    2445.051686
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,5,    2440.064968
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,6,    2447.068312
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,7,    2441.046530
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,8,    2446.516324
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,9,    2438.325640
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,10,    2440.596213
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,11,    2448.377396
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,12,    2443.864174
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,13,    2440.651963
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,14,    2441.562193
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,15,    2444.988459
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,16,    2441.678276
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,17,    2437.711553
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,18,    2439.878050
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,19,    2441.575487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,20,    2438.029473
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,21,    2440.545607
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,22,    2448.174933
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,23,    2441.420331
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,24,    2437.462257
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,25,    2442.236874
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,26,    2443.938418
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,27,    2439.433784
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,28,    2438.085631
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",4,406,29,    2440.662069
