dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,0,     596.601514
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,1,     583.901712
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,2,     594.221408
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,3,     600.019532
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,4,     592.664371
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,5,     688.005726
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,6,     598.729095
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,7,     594.189626
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,8,     599.409585
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,9,     601.347741
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,10,     607.032451
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,11,     597.526063
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,12,     602.850943
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,13,     605.406493
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,14,     611.929253
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,15,     601.446870
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,16,     602.942332
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,17,     597.457876
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,18,     596.392496
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,19,     597.091127
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,20,     614.176114
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,21,     598.850497
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,22,     602.993098
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,23,     618.993044
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,24,     603.480033
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,25,     598.325275
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,26,     606.179629
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,27,     614.641284
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,28,     600.791002
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,29,     598.076676
