dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,0,    9610.220498
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,1,    9623.023088
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,2,    9618.046091
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,3,    9610.859907
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,4,    9616.490856
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,5,    9615.483668
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,6,    9615.189061
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,7,    9615.517535
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,8,    9611.038010
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,9,    9615.240787
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,10,    9615.153992
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,11,    9622.516928
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,12,    9616.010856
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,13,    9615.555233
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,14,    9616.322156
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,15,    9615.807963
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,16,    9617.251248
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,17,    9615.181416
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,18,    9618.788690
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,19,    9614.602168
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,20,    9615.196521
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,21,    9614.166073
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,22,    9615.137136
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,23,    9614.599624
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,24,    9614.782601
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,25,    9614.748677
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,26,    9615.048358
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,27,    9624.531627
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,28,    9614.607555
3,float,uniform,PoisFFT,"D | D | D | D | N | D",6,465,29,    9613.920602
