dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,0,      41.219352
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,1,      42.782495
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,2,      43.046204
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,3,      39.340388
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,4,      38.726491
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,5,      38.492785
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,6,      38.480655
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,7,      38.298967
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,8,      38.709579
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,9,      38.510820
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,10,      38.566781
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,11,      38.295223
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,12,      38.260794
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,13,      38.585245
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,14,      38.596392
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,15,      38.934941
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,16,      38.803586
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,17,      38.654615
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,18,      38.295141
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,19,      38.587976
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,20,      38.426802
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,21,      38.695998
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,22,      38.356886
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,23,      38.615317
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,24,      38.729150
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,25,      38.359307
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,26,      38.775217
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,27,      38.783701
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,28,      38.442724
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,29,      38.381086
