dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,0,    2020.234758
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,1,    1917.137000
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,2,    1994.924959
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,3,    1954.566651
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,4,    1918.813163
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,5,    1912.283443
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,6,    1919.662982
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,7,    1936.462393
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,8,    1908.969081
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,9,    2117.969828
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,10,    1979.734820
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,11,    1901.010861
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,12,    1979.394900
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,13,    1917.303957
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,14,    1917.315343
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,15,    1936.790271
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,16,    1930.924167
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,17,    1925.456278
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,18,    2218.501303
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,19,    1936.477651
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,20,    1942.044271
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,21,    1939.903666
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,22,    2209.394898
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,23,    1929.609727
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,24,    1977.161845
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,25,    1907.003971
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,26,    1969.429236
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,27,    1920.651964
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,28,    2156.415584
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,29,    1921.356315
