dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,0,    6676.719030
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,1,    6675.100108
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,2,    6674.007723
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,3,    6847.261242
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,4,    6675.150330
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,5,    6677.812635
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,6,    6678.820673
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,7,    6674.991517
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,8,    6676.184241
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,9,    6674.185868
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,10,    6677.976210
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,11,    6676.349350
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,12,    6675.590538
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,13,    6722.724002
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,14,    6959.476835
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,15,    6773.252832
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,16,    6679.829778
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,17,    6676.945975
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,18,    6675.460304
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,19,    6674.922784
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,20,    6674.660424
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,21,    6681.445387
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,22,    6674.128684
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,23,    6674.042854
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,24,    7003.862250
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,25,    6676.936212
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,26,    6677.585949
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,27,    6682.075212
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,28,    7011.793036
3,float,uniform,PoisFFT,"D | D | D | D | D | D",1,256,29,    6681.920254
