dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,0,     222.280198
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,1,     216.110684
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,2,     221.058319
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,3,     227.473874
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,4,     223.152674
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,5,     223.224733
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,6,     227.674168
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,7,     221.005366
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,8,     219.347905
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,9,     217.744315
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,10,     223.620617
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,11,     215.600251
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,12,     219.478487
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,13,     226.858604
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,14,     222.765043
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,15,     219.598613
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,16,     223.835190
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,17,     220.292867
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,18,     222.996687
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,19,     226.640612
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,20,     368.706868
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,21,     218.022504
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,22,     218.519183
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,23,     216.470914
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,24,     216.966090
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,25,     222.486396
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,26,     222.284381
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,27,     218.114846
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,28,     221.868513
3,float,uniform,PoisFFT,"P | P | P | P | D | N",48,323,29,     223.698665
