dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,0,    2465.256033
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,1,    2447.776793
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,2,    2456.914627
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,3,    2453.369388
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,4,    2432.659300
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,5,    2409.772232
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,6,    2415.353150
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,7,    2426.526806
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,8,    2417.725611
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,9,    2497.768427
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,10,    2471.553387
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,11,    2482.655529
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,12,    2477.366939
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,13,    2425.028259
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,14,    2417.314470
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,15,    2421.975328
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,16,    2423.001460
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,17,    2485.796957
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,18,    2474.172654
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,19,    2477.367363
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,20,    2485.453448
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,21,    2479.242005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,22,    2475.707085
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,23,    2477.659037
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,24,    2477.603731
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,25,    2484.339018
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,26,    2481.214712
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,27,    2476.702565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,28,    2475.632941
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",48,323,29,    2409.381092
