dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,0,     167.083833
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,1,     165.090472
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,2,     164.416863
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,3,     163.857969
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,4,     164.205616
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,5,     164.091473
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,6,     164.217985
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,7,     164.199238
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,8,     164.708176
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,9,     164.038230
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,10,     164.263197
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,11,     164.074087
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,12,     165.077889
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,13,     164.733530
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,14,     164.581426
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,15,     164.349920
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,16,     164.755933
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,17,     164.492713
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,18,     164.781160
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,19,     164.719723
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,20,     165.062717
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,21,     164.550216
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,22,     164.660432
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,23,     163.997447
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,24,     164.631815
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,25,     164.199764
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,26,     164.863588
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,27,     165.077415
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,28,     164.791062
3,double,uniform,PoisFFT,"P | P | P | P | P | P",32,256,29,     164.490671
