dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,0,    2114.488232
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,1,    2030.658473
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,2,    1993.024041
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,3,    1972.954127
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,4,    1981.911474
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,5,    1981.906233
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,6,    2002.383025
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,7,    1977.290994
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,8,    1976.982660
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,9,    1974.484386
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,10,    1981.441053
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,11,    1981.674458
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,12,    1998.501542
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,13,    1990.609904
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,14,    1976.887922
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,15,    1978.812873
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,16,    1984.200693
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,17,    2005.160082
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,18,    1975.025833
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,19,    1989.353699
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,20,    1971.257102
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,21,    1980.322620
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,22,    1999.904460
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,23,    1973.197556
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,24,    1974.515900
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,25,    1979.754444
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,26,    1984.632223
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,27,    1976.636038
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,28,    1980.752378
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,29,    1974.533509
