dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,0,      56.744407
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,1,      55.962811
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,2,      55.703924
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,3,      55.479737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,4,      55.507820
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,5,      55.542984
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,6,      58.514014
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,7,      58.356909
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,8,      55.587765
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,9,      55.706108
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,10,      55.601743
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,11,      55.401831
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,12,      55.409913
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,13,      55.520436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,14,      55.399692
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,15,      55.456788
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,16,      55.467473
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,17,      55.602316
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,18,      55.374125
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,19,      55.613372
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,20,      55.412544
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,21,      55.386787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,22,      55.691574
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,23,      55.497169
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,24,      55.487737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,25,      55.765200
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,26,      55.541177
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,27,      55.446323
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,28,      55.418772
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,29,      55.434136
