dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,0,      80.679297
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,1,      76.935047
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,2,      77.296463
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,3,      76.760098
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,4,      77.066591
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,5,      77.161295
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,6,      77.288831
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,7,      76.864095
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,8,      80.201055
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,9,      77.028055
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,10,      77.174714
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,11,      77.293281
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,12,      77.088089
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,13,      77.255124
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,14,      77.113610
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,15,      76.852244
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,16,      77.080047
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,17,      77.186549
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,18,      77.038646
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,19,      77.153590
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,20,      77.292317
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,21,      77.322433
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,22,      77.466746
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,23,      77.267527
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,24,      77.318453
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,25,      77.393238
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,26,      77.123112
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,27,      77.381083
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,28,      77.258820
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,161,29,      77.437864
