dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,0,     391.915638
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,1,     402.535477
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,2,     394.978388
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,3,     396.565726
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,4,     405.148830
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,5,     395.927722
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,6,     568.172627
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,7,     405.770338
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,8,     398.886172
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,9,     558.390593
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,10,     406.885778
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,11,     406.376512
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,12,     398.131273
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,13,     414.323417
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,14,     401.846511
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,15,     404.876158
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,16,     401.898008
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,17,     399.578164
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,18,     409.543472
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,19,     402.673437
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,20,     397.635202
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,21,     404.184827
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,22,     398.633897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,23,     399.513911
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,24,     395.362788
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,25,     396.205516
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,26,     401.645244
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,27,     397.064813
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,28,     398.611640
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,323,29,     395.504022
