dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,0,     410.052093
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,1,     399.791867
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,2,     412.998234
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,3,     411.885845
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,4,     406.264848
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,5,     406.467274
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,6,     401.332112
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,7,     397.338866
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,8,     404.437178
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,9,     392.880828
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,10,     416.452124
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,11,     409.505418
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,12,     400.951291
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,13,     401.426355
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,14,     402.801606
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,15,     405.044100
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,16,     400.873637
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,17,     415.366714
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,18,     400.268933
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,19,     397.202375
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,20,     408.029980
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,21,     393.958777
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,22,     397.088797
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,23,     411.277208
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,24,     391.985845
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,25,     402.735525
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,26,     397.071147
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,27,     394.997018
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,28,     390.179430
3,double,uniform,PoisFFT,"P | P | P | P | D | N",48,323,29,     402.626189
