dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,0,    4356.375166
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,1,    4183.220519
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,2,    4108.605024
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,3,    4100.666681
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,4,    4108.171686
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,5,    4116.124966
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,6,    4094.403232
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,7,    4097.139089
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,8,    4104.807756
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,9,    4081.756502
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,10,    4083.332658
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,11,    4078.780353
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,12,    4077.454619
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,13,    4075.765629
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,14,    4062.055039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,15,    4065.230207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,16,    4074.823023
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,17,    4072.855483
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,18,    4072.554701
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,19,    4073.287056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,20,    4073.564067
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,21,    4078.793018
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,22,    4069.166740
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,23,    4081.705279
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,24,    4081.718728
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,25,    4087.734765
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,26,    4080.876812
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,27,    4077.306097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,28,    4069.526383
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,29,    4067.110883
