dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,0,      67.657583
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,1,      66.633508
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,2,      67.304917
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,3,      66.799287
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,4,      65.718457
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,5,      66.463796
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,6,      66.378341
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,7,      66.207570
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,8,      69.886537
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,9,      66.294952
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,10,      65.710255
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,11,      66.550526
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,12,      65.294550
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,13,      66.440032
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,14,      66.723913
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,15,      66.746424
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,16,      66.634913
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,17,      65.631812
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,18,      67.368932
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,19,      66.534859
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,20,      66.223040
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,21,      65.877347
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,22,      65.319355
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,23,      65.636083
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,24,      66.717490
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,25,      65.865756
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,26,      66.144033
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,27,      66.377444
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,28,      66.079878
3,float,uniform,PoisFFT,"P | P | P | P | N | D",16,203,29,      65.941400
