dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,0,    4083.046327
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,1,    4016.312286
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,2,    4003.925064
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,3,    4015.248485
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,4,    4016.878314
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,5,    4011.559288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,6,    4010.839644
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,7,    4016.194191
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,8,    4007.107092
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,9,    4012.494867
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,10,    4003.236071
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,11,    4010.665065
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,12,    4010.867174
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,13,    4019.767095
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,14,    3992.664590
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,15,    4010.439478
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,16,    4008.061951
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,17,    4010.331233
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,18,    4003.288949
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,19,    4007.273350
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,20,    4001.766034
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,21,    4006.640811
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,22,    4011.265080
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,23,    3997.242395
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,24,    4005.244924
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,25,    4004.563757
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,26,    3990.597678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,27,    4010.764335
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,28,    3999.092953
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,29,    4004.625385
