dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,0,      71.196068
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,1,      68.777023
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,2,      66.280092
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,3,      66.060166
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,4,      65.819177
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,5,      65.702696
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,6,      65.898947
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,7,      71.443461
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,8,      66.862042
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,9,      66.004871
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,10,      66.161831
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,11,      65.471154
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,12,      65.487696
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,13,      65.558624
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,14,      65.962054
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,15,      65.698475
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,16,      66.053606
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,17,      66.116601
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,18,      65.886527
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,19,      66.073311
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,20,      65.915399
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,21,      65.738430
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,22,      65.185518
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,23,      66.084554
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,24,      65.949844
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,25,      66.051882
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,26,      65.528845
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,27,      66.094530
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,28,      66.111546
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,29,      65.912840
