dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,0,     327.150535
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,1,     318.589320
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,2,     321.905089
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,3,     326.271625
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,4,     330.363793
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,5,     325.569945
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,6,     318.026578
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,7,     316.955091
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,8,     320.728670
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,9,     323.485920
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,10,     324.253197
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,11,     334.522654
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,12,     320.538788
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,13,     335.362289
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,14,     326.655317
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,15,     311.841065
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,16,     330.410084
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,17,     319.458064
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,18,     331.039360
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,19,     330.187845
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,20,     330.740267
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,21,     333.562401
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,22,     331.427822
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,23,     327.538802
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,24,     327.703520
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,25,     338.131255
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,26,     343.380001
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,27,     324.042808
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,28,     309.111853
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,369,29,     320.809568
