dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,0,      67.138716
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,1,      66.203709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,2,      66.184900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,3,      66.156637
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,4,      65.983664
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,5,      68.084257
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,6,      67.678115
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,7,      65.834269
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,8,      65.883900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,9,      65.983852
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,10,      65.824286
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,11,      66.126010
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,12,      66.008125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,13,      66.142312
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,14,      66.165525
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,15,      65.925437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,16,      66.044768
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,17,      65.995208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,18,      65.639745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,19,      66.040542
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,20,      66.698634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,21,      66.063271
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,22,      65.913292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,23,      65.909494
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,24,      65.958167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,25,      65.966414
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,26,      65.935890
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,27,      66.047988
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,28,      65.956245
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,29,      66.057526
