dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,0,      90.983574
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,1,      89.013102
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,2,      89.241367
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,3,      90.763722
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,4,      89.294114
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,5,      89.591144
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,6,      89.473605
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,7,      89.469670
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,8,      89.338635
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,9,      89.031637
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,10,      89.721163
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,11,      89.323550
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,12,      89.479363
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,13,      89.469462
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,14,      89.143990
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,15,      89.465962
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,16,      88.419422
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,17,      89.235946
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,18,      89.473782
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,19,      89.473480
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,20,      89.372940
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,21,      89.195503
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,22,      88.932461
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,23,      89.109094
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,24,      89.387191
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,25,      92.084317
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,26,      89.714679
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,27,      89.538766
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,28,      89.115567
3,float,uniform,PoisFFT,"P | P | P | P | P | P",16,203,29,      88.155511
