dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,0,    3920.667001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,1,    3911.180236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,2,    3908.898743
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,3,    3909.034191
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,4,    3911.676134
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,5,    3908.990956
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,6,    3911.683265
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,7,    3911.207237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,8,    3908.239672
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,9,    3908.987225
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,10,    3908.305588
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,11,    3907.970896
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,12,    3909.743931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,13,    3908.884016
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,14,    3909.838352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,15,    3909.299513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,16,    3909.383309
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,17,    3908.386895
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,18,    3908.419551
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,19,    3909.175055
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,20,    3911.287709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,21,    3907.992820
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,22,    3909.811261
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,23,    3910.271181
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,24,    3909.320207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,25,    3910.392211
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,26,    3907.487146
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,27,    3907.722182
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,28,    3907.828190
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,29,    3908.578436
