dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,0,     199.446891
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,1,     192.874037
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,2,     192.634586
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,3,     192.659525
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,4,     192.394236
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,5,     192.618188
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,6,     192.630199
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,7,     192.858785
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,8,     192.543804
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,9,     192.854605
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,10,     195.752617
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,11,     192.956492
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,12,     192.618759
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,13,     192.544994
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,14,     192.711226
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,15,     192.716464
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,16,     192.734454
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,17,     192.529796
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,18,     192.698424
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,19,     192.672800
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,20,     192.149298
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,21,     192.504332
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,22,     192.457747
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,23,     193.886723
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,24,     193.033969
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,25,     192.894787
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,26,     193.168575
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,27,     193.120646
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,28,     193.015338
3,double,uniform,PoisFFT,"P | P | P | P | P | P",16,203,29,     192.953000
