dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,0,      45.768604
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,1,      43.860230
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,2,      40.404354
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,3,      41.102011
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,4,      40.250907
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,5,      40.821028
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,6,      40.321684
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,7,      40.689641
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,8,      40.390042
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,9,      40.476142
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,10,      40.605943
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,11,      40.991323
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,12,      40.870287
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,13,      44.635793
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,14,      40.661635
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,15,      40.621698
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,16,      40.942934
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,17,      40.661356
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,18,      41.077104
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,19,      40.319644
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,20,      40.518089
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,21,      40.322093
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,22,      40.713389
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,23,      40.755723
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,24,      40.962189
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,25,      40.376041
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,26,      40.385061
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,27,      41.089468
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,28,      40.514875
3,float,uniform,PoisFFT,"P | P | P | P | D | N",32,256,29,      41.012086
