dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,0,    3990.854768
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,1,    3900.861461
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,2,    3905.239005
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,3,    3910.561679
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,4,    3902.276042
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,5,    3897.890440
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,6,    3914.957251
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,7,    3889.088456
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,8,    3909.364607
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,9,    3897.787893
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,10,    3885.459605
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,11,    3894.442602
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,12,    3891.455084
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,13,    3891.528598
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,14,    3893.613332
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,15,    3897.039874
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,16,    3897.767570
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,17,    3886.417540
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,18,    3893.885692
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,19,    3887.843842
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,20,    3898.294168
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,21,    3897.063576
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,22,    3907.740840
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,23,    3886.962927
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,24,    3887.733983
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,25,    3891.193696
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,26,    3887.423519
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,27,    3891.390909
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,28,    3894.163078
3,double,uniform,PoisFFT,"P | P | P | P | D | N",6,465,29,    3889.432664
