dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,0,     873.360839
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,1,     865.442408
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,2,     868.769972
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,3,     865.563677
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,4,     869.424302
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,5,     869.152119
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,6,     862.472919
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,7,     872.508548
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,8,     868.494434
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,9,     868.216996
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,10,     869.474564
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,11,     870.517569
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,12,     867.376953
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,13,     856.195517
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,14,     875.306273
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,15,     870.548706
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,16,     867.910279
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,17,     866.761073
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,18,     870.042551
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,19,     872.723202
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,20,     863.681196
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,21,     863.908386
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,22,     870.227931
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,23,     863.769626
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,24,     867.254523
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,25,     858.824873
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,26,     871.258077
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,27,     866.224517
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,28,     870.189202
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",1,256,29,     868.562954
