dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,0,     434.684219
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,1,     401.322831
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,2,     366.434500
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,3,     403.051332
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,4,     367.638062
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,5,     218.503280
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,6,     415.135344
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,7,     392.981150
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,8,     212.897589
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,9,     200.793550
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,10,     200.021313
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,11,     202.338935
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,12,     199.342380
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,13,     200.440308
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,14,     201.177098
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,15,     200.914283
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,16,     202.467594
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,17,     203.540710
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,18,     202.511404
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,19,     201.659153
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,20,     200.389667
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,21,     203.017236
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,22,     205.884186
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,23,     205.059828
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,24,     203.705370
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,25,     202.340367
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,26,     205.161234
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,27,     199.426648
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,28,     202.773494
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,29,     204.802897
