dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,0,      89.994472
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,1,      89.182522
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,2,      90.552691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,3,      91.324027
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,4,      92.198028
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,5,      88.761855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,6,      88.367185
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,7,      89.092070
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,8,      88.603787
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,9,      88.613592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,10,      88.400339
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,11,      88.512081
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,12,      88.677478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,13,      88.282066
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,14,      88.545839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,15,      89.603904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,16,      88.585207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,17,      88.501898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,18,      88.310369
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,19,      88.213716
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,20,      88.538489
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,21,      88.477844
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,22,      88.993021
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,23,      91.518808
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,24,      91.641975
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,25,      90.599305
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,26,      88.426866
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,27,      88.336938
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,28,      88.805471
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",16,203,29,      88.106445
