dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,0,      68.649996
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,1,      68.386746
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,2,      66.473178
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,3,      67.017268
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,4,      66.650849
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,5,      68.887265
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,6,      66.819516
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,7,      66.809861
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,8,      67.758012
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,9,      66.651316
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,10,      67.425232
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,11,      67.367482
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,12,      66.652374
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,13,      66.319541
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,14,      68.019602
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,15,      66.971756
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,16,      67.281653
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,17,      67.825678
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,18,      67.731043
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,19,      66.722719
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,20,      66.850419
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,21,      67.078184
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,22,      67.978793
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,23,      67.690835
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,24,      69.145649
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,25,      66.932529
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,26,      67.528023
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,27,      68.145443
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,28,      67.121143
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,203,29,      68.003673
