dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,0,      74.251971
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,1,      67.379274
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,2,      67.435847
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,3,      67.587286
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,4,      67.328665
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,5,      66.946417
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,6,      67.187273
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,7,      67.124075
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,8,      66.947484
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,9,      67.452092
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,10,      67.688382
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,11,      67.026484
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,12,      67.213588
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,13,      67.022401
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,14,      67.411221
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,15,      67.173030
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,16,      67.294993
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,17,      67.164148
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,18,      67.195136
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,19,      67.217959
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,20,      67.356606
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,21,      67.228692
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,22,      67.935560
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,23,      67.153673
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,24,      68.544115
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,25,      69.546204
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,26,      67.122091
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,27,      67.645358
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,28,      66.945913
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,29,      67.011382
