dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,0,     418.265350
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,1,     420.377169
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,2,     410.243523
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,3,     426.365638
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,4,     427.684923
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,5,     419.068827
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,6,     417.097919
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,7,     414.083776
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,8,     410.640728
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,9,     411.999394
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,10,     420.558901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,11,     420.063312
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,12,     420.010262
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,13,     423.249362
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,14,     420.979382
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,15,     415.918821
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,16,     425.635513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,17,     423.344149
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,18,     418.496057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,19,     414.664371
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,20,     418.975968
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,21,     427.556919
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,22,     420.612620
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,23,     422.009907
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,24,     422.354743
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,25,     421.864155
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,26,     423.101885
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,27,     408.650692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,28,     414.281319
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,323,29,     417.549387
