dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,0,     324.469191
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,1,     325.803521
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,2,     327.008615
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,3,     333.362321
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,4,     351.545085
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,5,     331.054135
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,6,     335.602167
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,7,     333.455732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,8,     338.977873
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,9,     333.724073
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,10,     340.343834
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,11,     342.099602
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,12,     344.412425
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,13,     339.848629
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,14,     342.347576
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,15,     340.423625
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,16,     333.311574
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,17,     336.264432
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,18,     334.085383
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,19,     336.690505
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,20,     333.842796
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,21,     337.956770
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,22,     338.812207
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,23,     337.669328
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,24,     336.097850
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,25,     349.966503
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,26,     341.511098
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,27,     338.646985
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,28,     346.480960
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",64,369,29,     344.655333
