dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,0,     109.000169
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,1,     111.500750
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,2,     115.105375
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,3,     112.034729
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,4,     112.657962
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,5,     112.368007
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,6,     115.527978
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,7,     112.522564
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,8,     113.170969
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,9,     113.084749
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,10,     112.648016
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,11,     112.038291
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,12,     113.457656
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,13,     113.198282
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,14,     113.298014
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,15,     112.254255
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,16,     112.290321
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,17,     112.856818
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,18,     112.041943
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,19,     112.113621
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,20,     112.699699
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,21,     113.922713
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,22,     112.792617
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,23,     112.336231
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,24,     112.730284
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,25,     112.102881
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,26,     111.231853
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,27,     112.101207
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,28,     111.858895
3,double,uniform,PoisFFT,"D | D | D | D | N | D",16,203,29,     112.761034
