dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,0,     719.198734
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,1,     687.777286
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,2,     585.330920
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,3,     596.914128
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,4,     583.741780
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,5,     589.739205
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,6,     700.172721
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,7,     690.622821
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,8,     603.902720
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,9,     614.273862
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,10,     596.877293
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,11,     594.549436
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,12,     604.295263
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,13,     604.257710
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,14,     603.624939
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,15,     610.472279
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,16,     606.589003
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,17,     599.578624
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,18,     609.408030
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,19,     601.145148
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,20,     593.655489
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,21,     605.936922
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,22,     594.776836
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,23,     600.561160
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,24,     597.488965
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,25,     593.607104
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,26,     600.595348
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,27,     600.487823
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,28,     604.400126
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,369,29,     610.647302
