dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,0,    4065.806865
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,1,    3985.935585
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,2,    3972.376638
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,3,    3963.349198
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,4,    3968.871209
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,5,    3953.580158
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,6,    3947.134274
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,7,    3955.222913
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,8,    3944.229356
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,9,    3941.078567
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,10,    3935.293629
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,11,    3929.766564
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,12,    3937.245075
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,13,    3929.863572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,14,    3945.059384
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,15,    3942.428215
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,16,    3940.778985
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,17,    3941.777999
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,18,    3936.411454
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,19,    3930.361476
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,20,    3936.038516
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,21,    3940.051954
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,22,    3932.255037
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,23,    3926.738109
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,24,    3938.596021
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,25,    3941.096627
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,26,    3933.378805
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,27,    3934.355499
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,28,    3932.108803
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,29,    3931.959455
