dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,0,    4091.255530
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,1,    4054.462224
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,2,    4048.607783
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,3,    4040.505910
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,4,    4073.343752
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,5,    4039.779550
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,6,    4062.029882
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,7,    4023.924551
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,8,    4023.303065
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,9,    4020.514400
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,10,    4026.307753
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,11,    4018.718871
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,12,    4017.426737
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,13,    4031.388500
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,14,    4025.744991
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,15,    4017.111066
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,16,    4029.284165
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,17,    4017.408864
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,18,    4021.721967
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,19,    4024.511299
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,20,    4011.876278
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,21,    4017.347859
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,22,    4017.853771
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,23,    4015.076370
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,24,    4016.485701
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,25,    4016.432564
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,26,    4015.573453
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,27,    4037.489322
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,28,    4019.149345
3,float,uniform,PoisFFT,"P | P | P | P | P | P",4,406,29,    4014.299930
