dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,0,    4484.090545
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,1,    4489.072858
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,2,    4508.559030
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,3,    4539.416082
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,4,    4522.509420
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,5,    4518.638261
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,6,    4494.058192
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,7,    4558.058752
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,8,    4533.206266
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,9,    4521.971730
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,10,    4518.937296
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,11,    4517.735870
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,12,    4526.701262
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,13,    4539.598707
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,14,    4521.039177
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,15,    4537.737587
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,16,    4527.636988
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,17,    4557.687882
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,18,    4559.785143
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,19,    4510.762616
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,20,    4528.463050
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,21,    4546.130908
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,22,    4515.017264
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,23,    4518.354892
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,24,    4523.387811
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,25,    4557.167196
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,26,    4506.596374
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,27,    4496.288279
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,28,    4517.272397
3,float,uniform,PoisFFT,"D | D | D | D | N | D",4,406,29,    4516.704912
