dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,0,      80.522315
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,1,      80.539670
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,2,      76.694033
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,3,      76.737406
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,4,      76.974448
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,5,      76.646253
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,6,      77.242789
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,7,      76.537987
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,8,      79.961974
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,9,      78.026300
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,10,      76.620246
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,11,      76.695247
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,12,      76.910583
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,13,      76.790383
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,14,      76.653728
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,15,      76.625189
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,16,      76.761482
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,17,      76.659419
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,18,      76.906101
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,19,      76.538822
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,20,      76.620480
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,21,      76.725860
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,22,      76.527861
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,23,      76.647480
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,24,      76.636615
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,25,      76.741547
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,26,      76.731286
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,27,      76.749187
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,28,      77.240053
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,161,29,      76.886273
