dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,0,    1135.807595
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,1,    1141.048628
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,2,    1140.540577
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,3,    1140.234247
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,4,    1138.803615
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,5,    1140.228136
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,6,    1140.802378
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,7,    1139.587073
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,8,    1140.091239
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,9,    1139.487137
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,10,    1139.871627
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,11,    1139.333785
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,12,    1138.906559
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,13,    1139.329837
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,14,    1139.212671
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,15,    1139.481326
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,16,    1138.735539
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,17,    1139.611663
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,18,    1139.503691
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,19,    1138.859365
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,20,    1140.631659
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,21,    1139.184782
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,22,    1139.979839
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,23,    1139.588948
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,24,    1139.098813
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,25,    1138.695575
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,26,    1139.674671
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,27,    1138.499128
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,28,    1138.369319
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,29,    1140.599714
