dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,0,      78.011586
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,1,      76.479059
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,2,      71.698005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,3,      71.547475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,4,      71.636620
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,5,      71.603705
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,6,      72.092169
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,7,      71.741160
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,8,      71.277359
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,9,      71.747751
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,10,      71.469424
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,11,      71.513610
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,12,      71.546955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,13,      71.829993
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,14,      72.745409
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,15,      71.917652
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,16,      71.473771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,17,      71.371551
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,18,      71.581784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,19,      71.643822
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,20,      71.599803
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,21,      71.746955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,22,      71.508345
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,23,      74.517796
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,24,      76.603913
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,25,      77.065434
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,26,      73.316432
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,27,      71.392811
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,28,      71.643273
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",32,256,29,      71.806095
