dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,0,    2408.448505
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,1,    2358.363418
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,2,    2357.350180
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,3,    2341.542686
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,4,    2343.815953
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,5,    2343.869864
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,6,    2344.690206
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,7,    2335.325057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,8,    2340.805152
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,9,    2335.665961
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,10,    2341.065585
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,11,    2332.174136
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,12,    2339.658489
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,13,    2341.271548
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,14,    2340.920266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,15,    2338.065469
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,16,    2343.482324
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,17,    2342.605206
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,18,    2339.118204
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,19,    2345.513352
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,20,    2344.242318
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,21,    2341.088915
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,22,    2342.337612
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,23,    2336.155695
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,24,    2341.246837
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,25,    2337.715533
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,26,    2337.372525
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,27,    2339.802534
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,28,    2341.430488
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",48,323,29,    2341.523912
