dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,0,    1068.626641
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,1,    1069.802299
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,2,    1068.479973
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,3,    1069.593346
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,4,    1068.172289
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,5,    1070.071475
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,6,    1068.714761
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,7,    1066.833282
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,8,    1071.399784
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,9,    1073.766866
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,10,    1067.000712
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,11,    1068.649517
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,12,    1068.653755
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,13,    1068.104409
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,14,    1068.144430
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,15,    1068.438498
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,16,    1066.259932
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,17,    1066.541991
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,18,    1068.850928
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,19,    1067.945750
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,20,    1068.026973
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,21,    1078.579841
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,22,    1068.815067
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,23,    1068.428095
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,24,    1066.483730
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,25,    1065.931011
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,26,    1067.978937
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,27,    1067.255785
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,28,    1069.861677
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,29,    1068.931145
