dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,0,    2064.200837
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,1,    1986.946961
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,2,    1990.914598
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,3,    1998.605918
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,4,    2051.520805
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,5,    2054.436205
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,6,    2059.417132
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,7,    2050.127112
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,8,    2047.862970
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,9,    2057.706312
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,10,    2029.649316
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,11,    2038.157637
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,12,    2050.379792
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,13,    2039.078241
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,14,    2038.894224
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,15,    2055.578224
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,16,    2058.283240
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,17,    2042.412062
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,18,    2036.918622
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,19,    2036.142284
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,20,    2045.391851
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,21,    2056.812319
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,22,    2063.983096
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,23,    2041.562575
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,24,    2035.972784
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,25,    2039.486080
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,26,    2038.015129
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,27,    2049.584502
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,28,    2038.691733
3,double,uniform,PoisFFT,"P | P | P | P | D | N",2,323,29,    2046.330031
