dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,0,    8669.258580
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,1,    8627.584162
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,2,    8816.964003
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,3,    8644.270605
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,4,    8661.156286
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,5,    8719.993961
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,6,    8626.764143
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,7,    8675.730182
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,8,    8680.333495
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,9,    8629.835375
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,10,    8583.845510
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,11,    8571.046734
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,12,    8602.241531
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,13,    8573.099008
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,14,    8666.350961
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,15,    8606.443350
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,16,    8577.553480
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,17,    8593.749531
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,18,    8595.830005
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,19,    8569.305079
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,20,    8590.788551
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,21,    8591.524401
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,22,    8568.913251
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,23,    8532.341786
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,24,    8560.255838
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,25,    8574.452017
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,26,    8599.990430
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,27,    8603.621841
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,28,    8632.435532
3,double,uniform,PoisFFT,"P | P | P | P | P | P",6,465,29,    8639.604906
