dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,0,    2298.676129
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,1,    1877.312759
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,2,    1879.527831
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,3,    1878.808016
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,4,    1883.233756
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,5,    1889.269408
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,6,    1896.218374
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,7,    1886.405125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,8,    1881.252453
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,9,    1889.825298
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,10,    1892.267998
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,11,    1893.368207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,12,    1894.280906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,13,    1886.948003
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,14,    1888.571160
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,15,    1889.234943
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,16,    1882.566503
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,17,    1881.201083
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,18,    1880.150456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,19,    1885.005687
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,20,    1891.013150
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,21,    1903.244641
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,22,    1890.248400
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,23,    1891.501131
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,24,    1906.244522
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,25,    1896.925570
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,26,    1890.334057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,27,    1895.988536
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,28,    1894.217912
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",2,323,29,    1892.957309
