dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,0,    2986.072250
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,1,    2939.452615
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,2,    2926.929003
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,3,    2934.521002
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,4,    2927.660759
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,5,    2932.411164
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,6,    2924.128573
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,7,    2915.548760
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,8,    2923.325986
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,9,    2918.626141
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,10,    2921.031526
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,11,    2918.452323
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,12,    2912.123480
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,13,    2905.670837
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,14,    2913.899071
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,15,    2898.045226
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,16,    2898.608494
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,17,    2893.114714
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,18,    2891.517164
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,19,    2896.610779
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,20,    2887.596926
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,21,    2898.182998
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,22,    2890.578643
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,23,    2887.830332
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,24,    2889.562334
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,25,    2893.198512
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,26,    2895.349248
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,27,    2890.283811
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,28,    2892.049078
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,29,    2882.561104
