dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,0,     100.955770
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,1,      98.023305
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,2,      98.368082
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,3,      99.603181
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,4,      98.249081
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,5,      97.733795
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,6,      97.794393
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,7,      97.992448
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,8,      98.207450
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,9,      98.181220
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,10,      97.696263
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,11,      97.716852
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,12,      97.963623
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,13,      97.966109
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,14,      97.726518
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,15,      98.021277
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,16,      97.870198
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,17,      98.013652
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,18,      97.817495
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,19,      97.993655
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,20,      97.761543
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,21,      97.928995
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,22,      99.278068
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,23,      98.170591
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,24,      97.980756
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,25,      98.312242
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,26,      98.642282
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,27,      97.960331
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,28,      97.445201
3,double,uniform,PoisFFT,"D | D | D | D | D | D",16,203,29,      98.047269
