dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,0,     595.613835
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,1,     588.490636
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,2,     605.238729
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,3,     598.583391
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,4,     580.827781
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,5,     583.161194
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,6,     583.374254
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,7,     582.140747
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,8,     589.331208
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,9,     590.258922
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,10,     600.433129
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,11,     583.568280
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,12,     599.413477
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,13,     585.828696
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,14,     592.964493
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,15,     591.316442
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,16,     582.726006
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,17,     594.413037
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,18,     592.625341
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,19,     582.460355
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,20,     594.638096
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,21,     585.742749
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,22,     582.458089
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,23,     583.019080
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,24,     591.226430
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,25,     585.679124
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,26,     587.012331
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,27,     582.517344
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,28,     592.323725
3,double,uniform,PoisFFT,"D | D | D | D | D | D",64,369,29,     587.884975
