dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,0,    2486.251830
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,1,    2457.399011
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,2,    2456.384554
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,3,    2453.514322
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,4,    2473.911135
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,5,    2479.257604
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,6,    2482.863823
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,7,    2463.397289
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,8,    2453.274000
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,9,    2452.086760
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,10,    2452.809073
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,11,    2451.302406
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,12,    2459.936149
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,13,    2450.809792
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,14,    2450.425813
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,15,    2447.245397
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,16,    2451.250877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,17,    2459.324958
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,18,    2453.239323
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,19,    2450.764815
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,20,    2449.591986
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,21,    2450.556524
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,22,    2456.242989
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,23,    2448.444117
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,24,    2454.849987
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,25,    2451.115170
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,26,    2453.248544
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,27,    2447.967102
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,28,    2448.550967
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,29,    2449.787061
