dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,0,    3968.234654
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,1,    3875.353924
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,2,    3886.335353
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,3,    3840.043906
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,4,    3838.782691
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,5,    3838.934272
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,6,    3841.521674
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,7,    3847.899166
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,8,    3838.432646
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,9,    3845.758737
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,10,    3834.305103
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,11,    3844.816605
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,12,    3836.734221
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,13,    3837.633435
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,14,    3836.712479
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,15,    3837.775401
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,16,    3837.326345
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,17,    3840.961403
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,18,    3838.930793
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,19,    3840.741257
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,20,    3834.285425
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,21,    3833.337298
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,22,    3834.609112
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,23,    3834.486099
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,24,    3836.898089
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,25,    3839.238039
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,26,    3834.467590
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,27,    3835.566956
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,28,    3835.976873
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,29,    3833.519940
