dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,0,    2500.156296
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,1,    2466.837352
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,2,    2469.941202
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,3,    2462.566553
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,4,    2465.659239
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,5,    2464.148785
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,6,    2466.526751
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,7,    2466.923349
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,8,    2462.549919
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,9,    2465.597385
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,10,    2459.685366
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,11,    2463.395876
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,12,    2466.164481
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,13,    2461.378998
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,14,    2462.397356
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,15,    2464.110910
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,16,    2461.805562
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,17,    2459.239738
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,18,    2459.141656
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,19,    2462.117386
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,20,    2461.726958
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,21,    2461.920927
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,22,    2456.777605
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,23,    2462.213345
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,24,    2472.988471
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,25,    2462.220906
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,26,    2460.560329
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,27,    2463.756307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,28,    2460.539895
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,406,29,    2460.964625
