dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,0,     405.549576
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,1,     391.592336
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,2,     404.735093
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,3,     407.846525
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,4,     414.492079
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,5,     405.529204
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,6,     403.236882
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,7,     386.041150
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,8,     389.402583
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,9,     388.378096
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,10,     390.461109
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,11,     395.214432
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,12,     386.705936
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,13,     400.391029
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,14,     398.838796
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,15,     395.674566
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,16,     400.994978
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,17,     397.167132
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,18,     386.345506
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,19,     402.774087
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,20,     389.301475
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,21,     403.385080
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,22,     393.988860
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,23,     414.076497
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,24,     408.730606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,25,     398.961901
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,26,     402.269413
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,27,     389.751088
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,28,     400.740923
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,29,     393.846445
