dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,0,    2125.665517
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,1,    1985.125992
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,2,    1987.585274
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,3,    1988.252722
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,4,    1986.359982
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,5,    1985.608006
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,6,    1991.319075
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,7,    2048.082426
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,8,    2047.866198
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,9,    2052.583361
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,10,    2045.478341
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,11,    2042.387810
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,12,    2038.370348
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,13,    2041.961384
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,14,    2040.540348
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,15,    2035.520548
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,16,    2039.980891
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,17,    2036.543534
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,18,    2033.804704
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,19,    2037.550329
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,20,    2035.545751
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,21,    2037.580426
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,22,    2033.685821
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,23,    2032.124425
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,24,    2042.071274
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,25,    2037.229839
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,26,    2042.586366
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,27,    2036.469230
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,28,    2032.728285
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,323,29,    2042.329912
