dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,0,      48.983821
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,1,      43.197602
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,2,      43.079881
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,3,      43.586290
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,4,      43.687683
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,5,      43.484372
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,6,      43.146519
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,7,      42.973072
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,8,      43.312633
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,9,      43.576578
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,10,      43.094690
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,11,      43.386970
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,12,      43.061555
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,13,      43.016299
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,14,      43.176905
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,15,      42.963016
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,16,      43.580802
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,17,      42.974805
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,18,      42.947157
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,19,      43.079283
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,20,      43.203422
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,21,      43.163964
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,22,      43.497178
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,23,      43.083488
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,24,      45.031757
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,25,      43.265544
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,26,      43.135161
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,27,      43.237306
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,28,      43.466631
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,256,29,      43.257856
