dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,0,      81.930728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,1,      81.761227
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,2,      82.405186
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,3,      82.730275
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,4,      80.135929
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,5,      81.689590
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,6,      79.932033
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,7,      79.598082
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,8,      79.620309
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,9,      82.100084
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,10,      82.585601
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,11,      81.539656
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,12,      82.029866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,13,      79.396164
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,14,      82.572646
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,15,      80.607940
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,16,      83.044556
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,17,      82.346864
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,18,      83.583125
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,19,      81.230083
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,20,      81.619313
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,21,      82.239898
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,22,      78.837845
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,23,      78.809737
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,24,      81.806572
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,25,      81.276646
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,26,      81.473096
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,27,      81.710878
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,28,      78.885761
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,203,29,      79.290171
