dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,0,     948.138353
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,1,     957.082567
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,2,     954.879177
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,3,     956.027633
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,4,     953.333841
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,5,     953.519633
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,6,     954.437981
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,7,     953.827254
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,8,     954.335754
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,9,     953.969323
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,10,     955.224473
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,11,     954.786017
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,12,     954.877280
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,13,     953.592628
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,14,     957.549370
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,15,     952.335195
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,16,     954.330069
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,17,     953.190595
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,18,     954.267771
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,19,     954.218926
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,20,     953.850053
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,21,     956.583081
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,22,     954.406402
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,23,     954.390158
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,24,     954.575185
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,25,     956.433160
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,26,     954.197122
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,27,     953.930665
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,28,     954.982295
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",1,256,29,     955.730096
