dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,0,     147.678975
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,1,     143.768013
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,2,     145.778531
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,3,     145.464148
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,4,     144.050591
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,5,     143.491142
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,6,     144.241903
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,7,     143.786880
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,8,     143.474958
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,9,     143.941598
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,10,     143.580467
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,11,     143.314863
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,12,     143.336201
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,13,     144.249338
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,14,     143.475514
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,15,     143.026917
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,16,     147.133218
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,17,     144.018520
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,18,     143.678433
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,19,     144.113054
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,20,     144.907595
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,21,     144.133692
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,22,     143.804137
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,23,     144.269136
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,24,     143.942184
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,25,     143.794073
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,26,     144.094166
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,27,     144.170948
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,28,     144.309811
3,double,uniform,PoisFFT,"P | P | P | P | P | P",8,161,29,     143.809723
