dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,0,     941.232373
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,1,     950.573677
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,2,     947.723708
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,3,     948.036339
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,4,     947.262662
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,5,     947.001014
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,6,     947.388717
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,7,     947.430685
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,8,     947.698892
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,9,     947.167825
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,10,     949.206590
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,11,     947.981772
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,12,     945.782009
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,13,     946.448863
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,14,     947.471298
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,15,     947.802329
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,16,     946.485435
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,17,     946.171613
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,18,     947.824381
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,19,     946.668873
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,20,     945.769334
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,21,     946.287198
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,22,     946.577709
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,23,     947.526431
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,24,     946.482473
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,25,     947.059928
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,26,     946.773378
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,27,     947.608639
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,28,     947.393279
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",1,256,29,     947.107608
